Symbol,Date,Close,High,Low,Open,Volume
GOOGL,2011-12-01,307.1824,308.2984,299.7902,300.2907,7235575
GOOGL,2011-12-02,310.4805,312.3023,308.4286,308.9791,8164019
GOOGL,2011-12-05,313.1281,316.2561,311.5015,313.6436,6389860
GOOGL,2011-12-06,312.1872,314.6145,310.4205,311.7968,4648531
GOOGL,2011-12-07,311.997,313.1331,309.3495,311.1412,4511588
GOOGL,2011-12-08,308.3235,314.029,307.9481,310.8009,4824125
GOOGL,2011-12-09,314.014,314.8698,308.8039,309.2994,5531646
GOOGL,2011-12-12,312.998,313.3934,310.4455,311.2413,4366237
GOOGL,2011-12-13,313.1181,318.5883,311.7268,314.6846,8049476
GOOGL,2011-12-14,309.3344,312.4625,306.5417,311.0461,7802204
GOOGL,2011-12-15,310.0701,312.3023,309.6447,311.5616,4814904
GOOGL,2011-12-16,313.2833,314.9649,311.0361,312.8278,8910929
GOOGL,2011-12-19,311.2163,314.5545,310.3004,314.3093,4284226
GOOGL,2011-12-20,315.4904,316.2261,314.2992,314.3042,4771744
GOOGL,2011-12-21,313.2132,316.2161,309.7799,315.3102,4991471
GOOGL,2011-12-22,315.1551,316.1711,313.8088,314.2792,3644780
GOOGL,2011-12-23,316.8767,317.6475,315.5855,316.3062,2904631
GOOGL,2011-12-26,316.8767,316.8767,316.8767,316.8767,0
GOOGL,2011-12-27,320.4352,322.5572,316.3062,316.3312,3214988
GOOGL,2011-12-28,320.1599,322.8125,319.3591,321.6864,4250141
GOOGL,2011-12-29,321.5112,321.8115,317.9077,321.0558,3148139
GOOGL,2011-12-30,323.2629,323.6933,321.321,321.5663,3562266
GOOGL,2012-01-02,323.2629,323.2629,323.2629,323.2629,0
GOOGL,2012-01-03,333.0274,334.3987,326.5011,326.5061,7348579
GOOGL,2012-01-04,334.4638,335.4497,330.63,332.9473,5723184
GOOGL,2012-01-05,329.8243,332.3067,328.4329,331.1956,6560197
GOOGL,2012-01-06,325.3249,330.3197,325.2098,329.8943,5382832
GOOGL,2012-01-09,311.5316,323.8135,310.916,323.5632,11640161
GOOGL,2012-01-10,311.8719,317.2071,308.7539,315.1801,8782720
GOOGL,2012-01-11,313.2833,314.9999,310.8629,312.1472,4796516
GOOGL,2012-01-12,315.125,316.7516,313.5535,315.9158,3748076
GOOGL,2012-01-13,312.7978,313.7787,310.8309,313.4334,4610208
GOOGL,2012-01-16,312.7978,312.7978,312.7978,312.7978,0
GOOGL,2012-01-17,314.5945,316.2962,313.1431,316.2962,3815091
GOOGL,2012-01-18,316.7616,317.3072,311.3614,313.6186,5521030
GOOGL,2012-01-19,320.0949,320.8055,316.0359,320.7955,12598340
GOOGL,2012-01-20,293.2789,295.7863,291.1318,295.7363,21133071
GOOGL,2012-01-23,293.0437,294.6152,291.8625,293.2839,6819472
GOOGL,2012-01-24,290.7464,294.1247,289.28,293.0737,6106864
GOOGL,2012-01-25,285.0209,289.6354,283.4644,289.0348,9966734
GOOGL,2012-01-26,284.3252,287.5183,282.5485,286.2671,6449758
GOOGL,2012-01-27,290.271,290.4411,284.9408,285.6665,7230623
GOOGL,2012-01-30,289.1249,290.281,286.9778,289.6854,4657421
GOOGL,2012-01-31,290.336,292.2829,287.8536,291.7824,4281283
GOOGL,2012-02-01,290.6964,293.0337,289.8506,292.9286,4637406
GOOGL,2012-02-02,292.8385,293.4891,291.322,292.7184,4824669
GOOGL,2012-02-03,298.4539,298.8243,294.3099,295.6162,6332384
GOOGL,2012-02-06,304.8401,305.7109,297.2928,297.7933,7352385
GOOGL,2012-02-07,303.679,304.9902,302.1736,303.8691,4180019
GOOGL,2012-02-08,305.2205,305.9712,302.6638,304.6149,3670369
GOOGL,2012-02-09,306.0262,307.5477,304.795,306.3065,4526480
GOOGL,2012-02-10,303.2485,304.3596,302.2926,304.2345,4646383
GOOGL,2012-02-13,306.3966,307.2166,305.3055,305.5458,3629585
GOOGL,2012-02-14,305.1754,306.2965,302.673,306.0663,3604209
GOOGL,2012-02-15,303.0734,306.7619,301.5719,306.2965,4849221
GOOGL,2012-02-16,303.5538,304.6999,299.1546,301.702,5056822
GOOGL,2012-02-17,302.6129,304.1094,301.4918,302.7781,4893716
GOOGL,2012-02-20,302.6129,302.6129,302.6129,302.6129,0
GOOGL,2012-02-21,307.2975,309.2393,301.7321,302.2276,4957416
GOOGL,2012-02-22,304.2645,308.6888,303.6489,306.1113,3931900
GOOGL,2012-02-23,303.3486,304.2645,300.4659,303.7941,4106081
GOOGL,2012-02-24,305.2455,306.1213,303.0484,303.9692,3870397
GOOGL,2012-02-27,304.9502,306.4767,302.8231,303.5889,3625722
GOOGL,2012-02-28,309.4946,310.1853,304.1344,305.2955,5690080
GOOGL,2012-02-29,309.4245,313.1031,308.0482,309.5997,6267601
GOOGL,2012-03-01,311.5015,313.1531,309.3745,311.4315,4471687
GOOGL,2012-03-02,310.926,312.3023,310.4605,311.3013,3143382
GOOGL,2012-03-05,307.4226,311.5466,305.9862,310.5156,3183415
GOOGL,2012-03-06,302.7731,304.6999,297.2077,304.3196,6344284
GOOGL,2012-03-07,303.694,305.89,303.2235,304.9252,2527335
GOOGL,2012-03-08,303.8641,306.0463,303.4688,305.3206,2688251
GOOGL,2012-03-09,300.4158,306.2464,300.2907,304.1995,5337875
GOOGL,2012-03-12,302.8682,303.7941,299.9203,300.2907,3335520
GOOGL,2012-03-13,309.1893,309.2243,303.0694,304.6699,4490357
GOOGL,2012-03-14,308.2934,311.6917,307.0272,307.7979,5868028
GOOGL,2012-03-15,310.8659,312.0521,307.7129,308.5987,4865965
GOOGL,2012-03-16,312.8228,313.2572,310.3254,310.7458,6095008
GOOGL,2012-03-19,317.2971,318.9437,310.9215,311.8619,4341735
GOOGL,2012-03-20,317.0519,318.3382,313.9389,315.3052,3078573
GOOGL,2012-03-21,320.3001,324.0086,316.5614,317.6124,4934492
GOOGL,2012-03-22,323.338,324.7143,315.8057,319.5593,4815973
GOOGL,2012-03-23,321.6063,324.5642,320.7605,323.6133,3876913
GOOGL,2012-03-26,324.9796,325.0597,320.0798,322.8125,3639407
GOOGL,2012-03-27,323.8235,327.0666,322.7124,323.8285,4013718
GOOGL,2012-03-28,328.1977,329.6136,325.8554,326.3309,5072700
GOOGL,2012-03-29,324.5191,328.6131,322.4621,327.0366,3844904
GOOGL,2012-03-30,320.9307,327.0616,320.8105,326.1908,4620013
GOOGL,2012-04-02,323.7734,324.0637,317.7276,320.6954,4564253
GOOGL,2012-04-03,321.6213,324.2889,319.6294,323.0177,4085755
GOOGL,2012-04-04,317.8827,319.8096,315.8557,319.5343,3253391
GOOGL,2012-04-05,316.4663,318.5233,314.5895,316.4263,4629630
GOOGL,2012-04-06,316.4663,316.4663,316.4663,316.4663,0
GOOGL,2012-04-09,315.7256,317.9728,312.9479,314.5445,4362842
GOOGL,2012-04-10,313.7337,317.5574,312.5776,317.0669,4965344
GOOGL,2012-04-11,318.2881,318.3081,315.9558,317.2921,4396276
GOOGL,2012-04-12,325.8204,326.8864,320.4402,321.4862,11502019
GOOGL,2012-04-13,312.6026,324.8094,312.0721,324.0987,16310220
GOOGL,2012-04-16,303.3286,312.2072,301.1215,312.0471,11375893
GOOGL,2012-04-17,305.0803,309.1443,303.7991,304.5748,6042972
GOOGL,2012-04-18,304.0193,306.6969,301.697,304.3196,5335590
GOOGL,2012-04-19,299.9403,308.4286,299.7902,303.1384,6585193
GOOGL,2012-04-20,298.3188,304.72,298.2037,302.7431,6111999
GOOGL,2012-04-23,299.0895,299.5149,295.3859,296.7372,4391610
GOOGL,2012-04-24,300.9263,303.6089,298.9494,299.4098,3862863
GOOGL,2012-04-25,305.1554,305.9712,301.7321,302.2926,3638558
GOOGL,2012-04-26,308.0332,309.2994,305.1454,305.751,4183412
GOOGL,2012-04-27,307.7879,308.6688,305.5958,308.6688,3269629
GOOGL,2012-04-30,302.718,308.3395,300.596,306.792,4809765
GOOGL,2012-05-01,302.5078,306.0963,300.3858,302.1875,4000971
GOOGL,2012-05-02,303.9242,304.3496,300.596,300.8913,3219748
GOOGL,2012-05-03,305.806,307.7129,304.77,305.1053,3732757
GOOGL,2012-05-04,298.7742,304.2388,298.6941,303.2535,4410446
GOOGL,2012-05-07,304.0693,305.5808,297.7883,297.7883,3985168
GOOGL,2012-05-08,306.6919,308.7489,300.641,303.0584,5351784
GOOGL,2012-05-09,304.8701,308.4886,301.1966,303.704,4654581
GOOGL,2012-05-10,307.1273,308.3935,305.4106,306.777,3068780
GOOGL,2012-05-11,302.9082,307.5727,302.678,305.4707,4195386
GOOGL,2012-05-14,302.2926,304.5448,300.581,300.6811,3645933
GOOGL,2012-05-15,305.8511,307.7979,302.1675,302.9683,4200607
GOOGL,2012-05-16,314.7697,315.3553,308.2684,309.2443,9665482
GOOGL,2012-05-17,311.8268,319.234,310.916,317.2221,6702541
GOOGL,2012-05-18,300.4909,316.5164,298.6391,312.8528,11940688
GOOGL,2012-05-21,307.3525,308.1453,300.2907,300.5459,6145703
GOOGL,2012-05-22,300.6911,307.2024,298.2887,306.8871,6099585
GOOGL,2012-05-23,305.0253,305.0953,298.8493,301.1165,6326450
GOOGL,2012-05-24,302.1225,306.2565,299.7241,304.8751,3780706
GOOGL,2012-05-25,296.0516,301.1565,294.425,300.7912,7158008
GOOGL,2012-05-28,296.0516,296.0516,296.0516,296.0516,0
GOOGL,2012-05-29,297.4579,299.8553,294.445,298.1937,5208255
GOOGL,2012-05-30,294.4,296.2368,292.0477,294.3649,3809566
GOOGL,2012-05-31,290.7114,295.2858,289.7805,294.9105,5933161
GOOGL,2012-06-01,285.7766,286.6275,284.4253,285.9268,3058314
GOOGL,2012-06-04,289.5803,290.5312,285.2761,285.3762,2433785
GOOGL,2012-06-05,285.4763,289.3301,283.5245,288.0288,2340476
GOOGL,2012-06-06,290.5813,291.282,287.0779,288.5293,2096172
GOOGL,2012-06-07,289.3801,294.2348,288.8796,294.0847,1759531
GOOGL,2012-06-08,290.4812,290.7815,287.5784,288.229,1410365
GOOGL,2012-06-11,284.5254,292.9336,283.6245,292.383,2662268
GOOGL,2012-06-12,282.8238,285.4263,279.5706,285.1761,3224142
GOOGL,2012-06-13,280.8218,283.7747,279.6207,281.1221,1954606
GOOGL,2012-06-14,279.8209,282.8238,278.5196,280.2713,2345107
GOOGL,2012-06-15,282.5235,282.5235,278.8199,280.4214,3002510
GOOGL,2012-06-18,285.6765,287.3782,279.921,281.5726,2497863
GOOGL,2012-06-19,291.0317,292.4331,286.8276,287.7285,2076629
GOOGL,2012-06-20,289.0298,290.281,287.0278,290.1809,2346698
GOOGL,2012-06-21,282.8738,290.1809,282.1231,290.1809,2011321
GOOGL,2012-06-22,286.0269,286.0269,283.1741,284.2752,2229124
GOOGL,2012-06-25,280.6216,284.3252,278.97,283.9248,1582035
GOOGL,2012-06-26,282.6236,283.5745,280.0211,281.6727,1351150
GOOGL,2012-06-27,284.9258,287.2781,283.2742,284.125,1692446
GOOGL,2012-06-28,282.4234,283.3743,278.8699,283.2242,1922063
GOOGL,2012-06-29,290.331,290.331,286.3772,287.5784,2522561
GOOGL,2012-07-02,290.5312,291.7824,288.5293,291.1819,1655563
GOOGL,2012-07-03,294.1848,294.4851,289.28,290.281,1190524
GOOGL,2012-07-04,294.1848,294.1848,294.1848,294.1848,0
GOOGL,2012-07-05,298.2387,300.3407,294.5351,294.6853,2345900
GOOGL,2012-07-06,293.2839,297.0375,291.6823,296.487,2162328
GOOGL,2012-07-09,293.2839,294.5852,290.9316,292.7334,1715020
GOOGL,2012-07-10,291.1318,296.487,289.6304,295.2858,1923014
GOOGL,2012-07-11,285.8767,289.23,282.7237,288.4292,3500945
GOOGL,2012-07-12,285.5264,286.2271,281.3223,283.8748,2310093
GOOGL,2012-07-13,288.5293,289.8306,284.5254,286.3272,1976558
GOOGL,2012-07-16,287.7285,289.8806,286.177,288.4792,1462860
GOOGL,2012-07-17,288.6294,290.6313,284.4754,289.4802,1681568
GOOGL,2012-07-18,290.6814,292.1328,288.3291,288.7795,1550949
GOOGL,2012-07-19,296.8373,299.54,293.2839,293.3339,4674636
GOOGL,2012-07-20,305.6959,306.7469,299.3898,304.6949,6463747
GOOGL,2012-07-23,308.0482,309.4996,299.4399,300.3407,3561818
GOOGL,2012-07-24,304.0944,309.2494,302.4428,307.7979,2012188
GOOGL,2012-07-25,304.2946,306.9972,302.9933,304.4447,1822973
GOOGL,2012-07-26,306.9972,308.7489,305.2955,307.7979,1687484
GOOGL,2012-07-27,317.8076,317.8076,309.0492,309.7498,3550174
GOOGL,2012-07-30,316.4563,321.6113,315.055,318.4583,2186717
GOOGL,2012-07-31,316.8067,318.5584,314.4043,314.4544,1865890
GOOGL,2012-08-01,316.6565,320.0598,316.0059,318.9588,1844556
GOOGL,2012-08-02,314.7046,319.3091,312.002,313.053,1977689
GOOGL,2012-08-03,320.9607,322.1619,318.3582,320.3101,1897445
GOOGL,2012-08-06,321.7114,325.0146,319.9097,320.26,1782494
GOOGL,2012-08-07,320.5603,322.4621,318.5584,321.2109,1982694
GOOGL,2012-08-08,321.4111,323.2629,319.5593,319.6594,1322386
GOOGL,2012-08-09,321.4612,323.5132,321.0608,322.5622,1070288
GOOGL,2012-08-10,321.311,321.4111,318.3582,319.6094,1434408
GOOGL,2012-08-13,330.3197,330.4198,323.6633,323.8135,3268073
GOOGL,2012-08-14,334.674,336.726,329.8193,329.9694,3662177
GOOGL,2012-08-15,334.0734,337.4266,332.3717,335.4747,2411099
GOOGL,2012-08-16,336.776,337.6268,333.8732,334.0734,1717691
GOOGL,2012-08-17,338.878,338.9281,336.1754,337.827,2177895
GOOGL,2012-08-20,338.0773,339.7789,336.6759,338.0773,1758420
GOOGL,2012-08-21,335.0744,339.3285,331.4208,336.826,2222804
GOOGL,2012-08-22,338.9281,340.6297,333.673,334.0233,1909262
GOOGL,2012-08-23,338.7279,340.5797,335.8251,337.4767,1784452
GOOGL,2012-08-24,339.6288,340.5296,337.3766,338.1273,1429267
GOOGL,2012-08-27,334.9242,336.3256,329.9194,331.8212,2614131
GOOGL,2012-08-28,338.9281,339.1283,332.672,332.8222,2058937
GOOGL,2012-08-29,344.3333,344.8338,338.4276,339.0282,2991037
GOOGL,2012-08-30,341.1803,344.033,340.4295,342.4315,1627704
GOOGL,2012-08-31,342.8819,344.6336,340.3294,342.3314,2127124
GOOGL,2012-09-03,342.8819,342.8819,342.8819,342.8819,0
GOOGL,2012-09-04,340.8299,342.8319,337.0763,342.7818,1889613
GOOGL,2012-09-05,340.6798,343.5826,339.879,340.3795,1708168
GOOGL,2012-09-06,350.0388,350.2891,342.6817,343.1822,3044450
GOOGL,2012-09-07,353.4421,356.445,349.188,350.3391,3236308
GOOGL,2012-09-10,350.7395,356.7453,349.5384,355.2439,2560067
GOOGL,2012-09-11,346.4353,350.6895,345.8348,348.8877,1874004
GOOGL,2012-09-12,345.7847,347.7867,340.7799,345.034,2642259
GOOGL,2012-09-13,353.342,354.8435,345.5845,346.8858,2659301
GOOGL,2012-09-14,355.1938,356.8454,353.8425,355.1438,2618874
GOOGL,2012-09-17,355.344,356.7954,352.8416,354.3931,1508306
GOOGL,2012-09-18,359.498,359.6982,353.7424,354.2429,2067248
GOOGL,2012-09-19,364.1025,364.653,358.5471,359.0976,3098781
GOOGL,2012-09-20,364.4027,366.0543,360.9494,362.601,2907854
GOOGL,2012-09-21,367.3556,367.806,365.4037,366.4547,6360375
GOOGL,2012-09-24,375.0631,375.3634,365.5038,365.8541,3565836
GOOGL,2012-09-25,374.963,382.8206,374.2122,376.9149,6061033
GOOGL,2012-09-26,377.115,380.9688,370.859,375.3133,5674333
GOOGL,2012-09-27,378.6165,381.7696,376.2142,380.5183,3932271
GOOGL,2012-09-28,377.6155,380.0179,375.9639,377.4654,2784090
GOOGL,2012-10-01,381.2691,382.8706,378.4664,379.9178,3168477
GOOGL,2012-10-02,378.8667,383.3711,375.5135,382.7705,2790374
GOOGL,2012-10-03,381.6194,382.3201,376.4644,378.4664,2208639
GOOGL,2012-10-04,384.4221,385.323,380.0679,381.7195,2454495
GOOGL,2012-10-05,384.1719,387.5752,382.8706,385.8235,2737751
GOOGL,2012-10-08,379.2671,382.1699,377.4654,380.8687,1958624
GOOGL,2012-10-09,372.4105,381.0188,371.6097,380.2181,3003883
GOOGL,2012-10-10,372.6607,374.1121,369.5077,371.3094,2041202
GOOGL,2012-10-11,376.1141,379.6175,375.5135,376.8148,2383986
GOOGL,2012-10-12,372.7608,377.8157,372.4105,376.3143,2406787
GOOGL,2012-10-15,370.859,372.2603,365.704,371.0091,3020097
GOOGL,2012-10-16,372.7108,373.8619,368.6068,369.9081,2058467
GOOGL,2012-10-17,378.116,378.5164,370.5087,372.3604,2292818
